Sector,Year,Month,Cereals and products,Meat and fish,Egg,Milk and products,Oils and fats,Fruits,Vegetables,Pulses and products,Sugar and Confectionery,Spices,Non-alcoholic beverages,"Prepared meals, snacks, sweets etc.",Food and beverages,"Pan, tobacco and intoxicants",General index
Rural,2013,January,107.5,106.3,108.1,104.9,106.1,103.9,101.9,106.1,106.8,103.1,104.8,106.7,105.5,105.1,105.1
Urban,2013,January,110.5,109.1,113,103.6,103.4,102.3,102.9,105.8,105.1,101.8,105.1,107.9,105.9,105.2,104
Rural+Urban,2013,January,108.4,107.3,110,104.4,105.1,103.2,102.2,106,106.2,102.7,104.9,107.3,105.6,105.1,104.6
Rural,2013,February,109.2,108.7,110.2,105.4,106.7,104,102.4,105.9,105.7,103.1,105.1,107.7,106.3,105.6,105.8
Urban,2013,February,112.9,112.9,116.9,104,103.5,103.1,104.9,104.1,103.8,102.3,106,109,107.2,106,104.7
Rural+Urban,2013,February,110.4,110.2,112.8,104.9,105.5,103.6,103.2,105.3,105.1,102.8,105.5,108.3,106.6,105.7,105.3
Rural,2013,March,110.2,108.8,109.9,105.6,106.2,105.7,101.4,105.7,105,103.3,105.6,108.2,106.6,106.5,106
Urban,2013,March,113.9,111.4,113.2,104.3,102.7,104.9,103.8,103.5,102.6,102.4,107,109.8,107.3,106.8,105
Rural+Urban,2013,March,111.4,109.7,111.2,105.1,104.9,105.3,102.2,105,104.2,103,106.2,108.9,106.9,106.6,105.5
Rural,2013,April,110.2,109.5,106.9,106.3,105.7,108.3,103.4,105.7,104.2,103.2,106.5,108.8,107.1,107.1,106.4
Urban,2013,April,114.6,113.4,106,104.7,102.1,109.5,109.7,104.6,102,103.5,108.2,110.6,108.8,108.5,105.7
Rural+Urban,2013,April,111.6,110.9,106.6,105.7,104.4,108.9,105.5,105.3,103.5,103.3,107.2,109.6,107.7,107.5,106.1
Rural,2013,May,110.9,109.8,105.9,107.5,105.3,108.1,107.3,106.1,103.7,104,107.4,109.9,108.1,108.1,107.2
Urban,2013,May,115.4,114.2,102.7,105.5,101.5,110.6,123.7,105.2,101.9,105,109.1,111.3,111.1,109.8,106.6
Rural+Urban,2013,May,112.3,111.3,104.7,106.8,103.9,109.3,112.9,105.8,103.1,104.3,108.1,110.5,109.2,108.6,106.9
Rural,2013,June,112.3,112.1,108.1,108.3,105.9,109.2,118,106.8,104.1,105.4,108.2,111,110.6,109,108.9
Urban,2013,June,117,120.1,112.5,107.3,101.3,112.4,143.6,105.4,101.4,106.4,110,112.2,115,110.9,109.7
Rural+Urban,2013,June,113.8,114.9,109.8,107.9,104.2,110.7,126.7,106.3,103.2,105.7,109,111.6,112.2,109.5,109.3
Rural,2013,July,113.4,114.9,110.5,109.3,106.2,110.3,129.2,107.1,104.3,106.4,109.1,112.1,113.1,109.8,110.7
Urban,2013,July,117.8,119.2,114,108.3,101.1,113.2,160.9,105.1,101.3,107.5,110.4,113.1,117.5,111.7,111.4
Rural+Urban,2013,July,114.8,116.4,111.9,108.9,104.3,111.7,140,106.4,103.3,106.8,109.6,112.6,114.7,110.3,111
Rural,2013,August,114.3,115.4,111.1,110,106.4,110.8,138.9,107.4,104.1,106.9,109.7,112.6,114.9,110.7,112.1
Urban,2013,August,118.3,120.4,112.7,108.9,101.1,108.7,177,104.7,101,108.5,110.9,114.3,119.6,112.4,112.7
Rural+Urban,2013,August,115.6,117.2,111.7,109.6,104.5,109.8,151.8,106.5,103.1,107.4,110.2,113.4,116.6,111.2,112.4
Rural,2013,September,115.4,115.7,111.7,111,107.4,110.9,154,108.1,104.2,107.9,110.4,114,117.8,111.7,114.2
Urban,2013,September,118.6,119.1,113.2,109.6,101.7,103.2,174.3,105.1,100.8,109.1,111.1,115.4,119.2,112.9,113.2
Rural+Urban,2013,September,116.4,116.9,112.3,110.5,105.3,107.3,160.9,107.1,103.1,108.3,110.7,114.6,118.3,112,113.7
Rural,2013,October,116.3,115.4,112.6,111.7,107.7,113.2,164.9,108.3,103.9,108.2,111.1,114.9,119.8,112.2,115.5
Urban,2013,October,118.9,118.1,114.5,110.4,102.3,106.2,183.5,105.3,100.2,109.6,111.4,116,120.8,113.5,114
Rural+Urban,2013,October,117.1,116.3,113.3,111.2,105.7,109.9,171.2,107.3,102.7,108.7,111.2,115.4,120.2,112.5,114.8
Rural,2013,November ,117.3,114.9,116.2,112.8,108.9,116.6,178.1,109.1,103.6,109,111.8,116,122.5,112.8,117.4
Urban,2013,November,119.8,116.3,122.6,112,103.2,110,192.8,106.3,99.5,110.3,111.8,117.1,122.9,114.1,115
Rural+Urban,2013,November,118.1,115.4,118.7,112.5,106.8,113.5,183.1,108.2,102.2,109.4,111.8,116.5,122.6,113.1,116.3
Rural,2013,December,118.4,115.9,120.4,113.8,109.5,115.5,145.7,109.5,102.9,109.8,112.1,116.8,118.7,113.6,115.5
Urban,2013,December,120.5,118.1,128.5,112.8,103.4,110.7,144.8,107.1,98.6,111.9,112.1,118.1,117.8,115,113.3
Rural+Urban,2013,December,119.1,116.7,123.5,113.4,107.3,113.3,145.4,108.7,101.5,110.5,112.1,117.4,118.4,114,114.5
Rural,2014,January,118.9,117.1,120.5,114.4,109,115.5,123.9,109.6,101.8,110.2,112.4,117.3,116,114,114.2
Urban,2014,January,121.2,122,129.9,113.6,102.9,112.1,118.9,107.5,96.9,112.7,112.1,119,115.5,115.7,112.9
